scientific_name,exotic,native,category
Trifolium arvense,t,Exotic,Exotic
Trifolium campestre,t,Exotic,Exotic
Trifolium dubium,t,Exotic,Exotic
Trifolium glomeratum,t,Exotic,Exotic
Trifolium pratense,t,Exotic,Exotic
Trifolium repens,t,Exotic,Exotic
Trifolium subterraneum,t,Exotic,Exotic
Ulex europaeus,t,Exotic,Exotic
Vicia sativa,t,Exotic,Exotic
Vicia tetrasperma,t,Exotic,Exotic
Wisteria sinensis,t,Exotic,Exotic
Quercus robur,t,Exotic,Exotic
Fumaria bastardii,t,Exotic,Exotic
Centaurium erythraea,t,Exotic,Exotic
Centaurium tenuiflorum,t,Exotic,Exotic
Erodium cicutarium,t,Exotic,Exotic
Pelargonium asperum,t,Exotic,Exotic
Myriophyllum aquaticum,t,Exotic,Exotic
Liquidambar orientalis,t,Exotic,Exotic
Liquidambar styraciflua,t,Exotic,Exotic
Aristea ecklonii,t,Exotic,Exotic
Dietes bicolor,t,Exotic,Exotic
Dietes grandiflora,t,Exotic,Exotic
Gladiolus undulatus,t,Exotic,Exotic
Iris germanica,t,Exotic,Exotic
Moraea flaccida,t,Exotic,Exotic
Watsonia meriana,t,Exotic,Exotic
Juncus tenuis,t,Exotic,Exotic
Plectranthus verticillatus,t,Exotic,Exotic
Rosmarinus officinalis,t,Exotic,Exotic
Scutellaria racemosa,t,Exotic,Exotic
Stachys arvensis,t,Exotic,Exotic
Cinnamomum camphora,t,Exotic,Exotic
Lilium formosanum,t,Exotic,Exotic
Linum trigynum,t,Exotic,Exotic
Gelsemium sempervirens,t,Exotic,Exotic
Lagerstroemia indica,t,Exotic,Exotic
Cotoneaster glaucophyllus,t,Exotic,Exotic
Cotoneaster pannosus,t,Exotic,Exotic
Eriobotrya japonica,t,Exotic,Exotic
Malus domestica,t,Exotic,Exotic
Photinia serratifolia,t,Exotic,Exotic
Pyracantha angustifolia,t,Exotic,Exotic
Rhaphiolepis indica,t,Exotic,Exotic
Hibiscus rosa-sinensis,t,Exotic,Exotic
Malva neglecta,t,Exotic,Exotic
Malva nicaeensis,t,Exotic,Exotic
Malva parviflora,t,Exotic,Exotic
Malva sylvestris,t,Exotic,Exotic
Modiola caroliniana,t,Exotic,Exotic
Pavonia hastata,t,Exotic,Exotic
Sida rhombifolia,t,Exotic,Exotic
Urena lobata,t,Exotic,Exotic
Tibouchina urvilleana,t,Exotic,Exotic
Ficus benjamina,t,Exotic,Exotic
Ficus microcarpa,t,Exotic,Exotic
Morus alba,t,Exotic,Exotic
Morus nigra,t,Exotic,Exotic
Agonis flexuosa,t,Exotic,Exotic
Corymbia ficifolia,t,Exotic,Exotic
Eucalyptus cladocalyx,t,Exotic,Exotic
Metrosideros excelsa,t,Exotic,Exotic
Psidium guajava,t,Exotic,Exotic
Nandina domestica,t,Exotic,Exotic
Nelumbo nucifera,t,Exotic,Exotic
Nymphaea alba,t,Exotic,Exotic
Ochna serrulata,t,Exotic,Exotic
Jasminum polyanthum,t,Exotic,Exotic
Ligustrum lucidum,t,Exotic,Exotic
Ligustrum sinense,t,Exotic,Exotic
Olea europaea,t,Exotic,Exotic
Ludwigia peruviana,t,Exotic,Exotic
Oenothera glazioviana,t,Exotic,Exotic
Oxalis corniculata,t,Exotic,Exotic
Oxalis latifolia,t,Exotic,Exotic
Oxalis pes-caprae,t,Exotic,Exotic
Oxalis purpurea,t,Exotic,Exotic
Papaver hybridum,t,Exotic,Exotic
Passiflora caerulea,t,Exotic,Exotic
Passiflora edulis,t,Exotic,Exotic
Passiflora morifolia,t,Exotic,Exotic
Passiflora suberosa,t,Exotic,Exotic
Passiflora subpeltata,t,Exotic,Exotic
Phyllanthus tenellus,t,Exotic,Exotic
Phytolacca octandra,t,Exotic,Exotic
Pinus radiata,t,Exotic,Exotic
Plantago lanceolata,t,Exotic,Exotic
Veronica arvensis,t,Exotic,Exotic
Veronica persica,t,Exotic,Exotic
Plumbago auriculata,t,Exotic,Exotic
Agrostis capillaris,t,Exotic,Exotic
Aira caryophyllea,t,Exotic,Exotic
Aira cupaniana,t,Exotic,Exotic
Andropogon virginicus,t,Exotic,Exotic
Anthoxanthum odoratum,t,Exotic,Exotic
Avena fatua,t,Exotic,Exotic
Avena sativa,t,Exotic,Exotic
Avena sterilis,t,Exotic,Exotic
Axonopus compressus,t,Exotic,Exotic
Axonopus fissifolius,t,Exotic,Exotic
Briza maxima,t,Exotic,Exotic
Cyperus spp.,f,Native,Genus Only
Briza minor,t,Exotic,Exotic
Bromus brevis,t,Exotic,Exotic
Bromus catharticus,t,Exotic,Exotic
Bromus diandrus,t,Exotic,Exotic
Bromus rubens,t,Exotic,Exotic
Cenchrus clandestinus,t,Exotic,Exotic
Cenchrus longisetus,t,Exotic,Exotic
Cenchrus setaceus,t,Exotic,Exotic
Chloris gayana,t,Exotic,Exotic
Chloris virgata,t,Exotic,Exotic
Cortaderia selloana,t,Exotic,Exotic
Dactylis glomerata,t,Exotic,Exotic
Digitaria ciliaris,t,Exotic,Exotic
Digitaria eriantha,t,Exotic,Exotic
Digitaria sanguinalis,t,Exotic,Exotic
Echinochloa crus-galli,t,Exotic,Exotic
Ehrharta erecta,t,Exotic,Exotic
Ehrharta longiflora,t,Exotic,Exotic
Eleusine indica,t,Exotic,Exotic
Eleusine tristachya,t,Exotic,Exotic
Eragrostis cilianensis,t,Exotic,Exotic
Eragrostis curvula,t,Exotic,Exotic
Hyparrhenia hirta,t,Exotic,Exotic
Lagurus ovatus,t,Exotic,Exotic
Lolium multiflorum,t,Exotic,Exotic
Lolium perenne,t,Exotic,Exotic
Lolium rigidum,t,Exotic,Exotic
Megathyrsus maximus,t,Exotic,Exotic
Melinis repens,t,Exotic,Exotic
Nassella neesiana,t,Exotic,Exotic
Parapholis incurva,t,Exotic,Exotic
Paspalum dilatatum,t,Exotic,Exotic
Paspalum quadrifarium,t,Exotic,Exotic
Paspalum urvillei,t,Exotic,Exotic
Phalaris aquatica,t,Exotic,Exotic
Phalaris canariensis,t,Exotic,Exotic
Phyllostachys nigra,t,Exotic,Exotic
Poa annua,t,Exotic,Exotic
Poa pratensis,t,Exotic,Exotic
Polypogon lutosus,t,Exotic,Exotic
Setaria italica,t,Exotic,Exotic
Setaria palmifolia,t,Exotic,Exotic
Setaria parviflora,t,Exotic,Exotic
Setaria pumila,t,Exotic,Exotic
Sorghum halepense,t,Exotic,Exotic
Sporobolus africanus,t,Exotic,Exotic
Sporobolus fertilis,t,Exotic,Exotic
Sporobolus indicus,t,Exotic,Exotic
Stenotaphrum secundatum,t,Exotic,Exotic
Vulpia bromoides,t,Exotic,Exotic
Vulpia muralis,t,Exotic,Exotic
Vulpia myuros,t,Exotic,Exotic
Polygala myrtifolia,t,Exotic,Exotic
Polygala virgata,t,Exotic,Exotic
Persicaria capitata,t,Exotic,Exotic
Persicaria maculosa,t,Exotic,Exotic
Polygonum aviculare,t,Exotic,Exotic
Rumex conglomeratus,t,Exotic,Exotic
Rumex crispus,t,Exotic,Exotic
Rumex obtusifolius,t,Exotic,Exotic
Rumex pulcher,t,Exotic,Exotic
Lysimachia arvensis,t,Exotic,Exotic
Grevillea banksii,t,Exotic,Exotic
Punica granatum,t,Exotic,Exotic
Ranunculus muricatus,t,Exotic,Exotic
Ranunculus repens,t,Exotic,Exotic
Prunus persica,t,Exotic,Exotic
Rosa bracteata,t,Exotic,Exotic
Rosa rubiginosa,t,Exotic,Exotic
Galium aparine,t,Exotic,Exotic
Galium tricornutum,t,Exotic,Exotic
Richardia stellaris,t,Exotic,Exotic
Sherardia arvensis,t,Exotic,Exotic
Calodendrum capense,t,Exotic,Exotic
Murraya paniculata,t,Exotic,Exotic
Populus alba,t,Exotic,Exotic
Populus nigra,t,Exotic,Exotic
Salix babylonica,t,Exotic,Exotic
Salvinia molesta,t,Exotic,Exotic
Acer negundo,t,Exotic,Exotic
Cardiospermum grandiflorum,t,Exotic,Exotic
Misopates orontium,t,Exotic,Exotic
Verbascum virgatum,t,Exotic,Exotic
Ailanthus altissima,t,Exotic,Exotic
Cestrum nocturnum,t,Exotic,Exotic
Cestrum parqui,t,Exotic,Exotic
Datura stramonium,t,Exotic,Exotic
Lycium ferocissimum,t,Exotic,Exotic
Nicotiana tabacum,t,Exotic,Exotic
Physalis peruviana,t,Exotic,Exotic
Salpichroa origanifolia,t,Exotic,Exotic
Solanum americanum,t,Exotic,Exotic
Solanum chenopodioides,t,Exotic,Exotic
Solanum linnaeanum,t,Exotic,Exotic
Solanum mauritianum,t,Exotic,Exotic
Solanum pseudocapsicum,t,Exotic,Exotic
Solanum seaforthianum,t,Exotic,Exotic
Solanum sisymbriifolium,t,Exotic,Exotic
Strelitzia reginae,t,Exotic,Exotic
Camellia japonica,t,Exotic,Exotic
Camellia sasanqua,t,Exotic,Exotic
Tropaeolum majus,t,Exotic,Exotic
Celtis australis,t,Exotic,Exotic
Celtis occidentalis,t,Exotic,Exotic
Celtis sinensis,t,Exotic,Exotic
Ulmus parvifolia,t,Exotic,Exotic
Parietaria judaica,t,Exotic,Exotic
Urtica urens,t,Exotic,Exotic
Citharexylum spinosum,t,Exotic,Exotic
Lantana camara,t,Exotic,Exotic
Lantana montevidensis,t,Exotic,Exotic
Verbena bonariensis,t,Exotic,Exotic
Verbena hispida,t,Exotic,Exotic
Verbena litoralis,t,Exotic,Exotic
Verbena officinalis,t,Exotic,Exotic
Verbena quadrangularis,t,Exotic,Exotic
Viola odorata,t,Exotic,Exotic
Heterophylla sp.,f,Native,Genus Only
Hedychium coronarium,t,Exotic,Exotic
Hedychium gardnerianum,t,Exotic,Exotic
Erythrina x sykesii,t,Exotic,Exotic
Solanum nigrum,t,Exotic,Exotic
Rubus ulmifolius,t,Exotic,Exotic
Olea europaea subsp. cuspidata,t,Exotic,Exotic
Verbena incompta,t,Exotic,Exotic
Ipomoea cairica,t,Exotic,Exotic
Sagittaria platyphylla,t,Exotic,Exotic
Sisyrinchium rosulatum,t,Exotic,Exotic
Hibbertia fumana,f,Native,Native
Rhodamnia rubescens,f,Native,Native
Hibbertia stricta,f,Native,Native
Acacia terminalis,f,Native,Native
Caesia parviflora,f,Native,Native
Cheilanthes sieberi,f,Native,Native
Deyeuxia appressa,f,Native,Native
Persoonia nutans,f,Native,Native
Pimelea spicata,f,Native,Native
Pomaderris brunnea,f,Native,Native
Pultenaea pedunculata,f,Native,Native
Pterostylis gibbosa,f,Native,Native
Veronica lithophila,f,Native,Native
Phaius australis,f,Native,Native
Diploglottis campbellii,f,Native,Native
Eucalyptus scoparia,f,Native,Native
Sarcochilus hartmannii,f,Native,Native
Bulbophyllum globuliforme,f,Native,Native
Eucalyptus camfieldii,f,Native,Native
Hakea archaeoides,f,Native,Native
Syzygium moorei,f,Native,Native
Eucalyptus caleyi,f,Native,Native
Leucopogon exolasius,f,Native,Native
Patersonia sp.,f,Native,Genus Only
Acacia hispidula,f,Native,Native
Acacia pycnantha,f,Native,Native
Acianthus pusillus,f,Native,Native
Acronychia oblongifolia,f,Native,Native
Alisma plantago-aquatica,f,Native,Native
Amyema congener,f,Native,Native
Aphanopetalum resinosum,f,Native,Native
Aristida benthamii,f,Native,Native
Aristida calycina,f,Native,Native
Austrostipa verticillata,f,Native,Native
Azolla pinnata,f,Native,Native
Baeckea linifolia,f,Native,Native
Bauera rubioides,f,Native,Native
Blechnum ambiguum,f,Native,Native
Blechnum camfieldii,f,Native,Native
Blechnum cartilagineum,f,Native,Native
Boronia polygalifolia,f,Native,Native
Bossiaea ensata,f,Native,Native
Bothriochloa decipiens,f,Native,Native
Brachyscome graminea,f,Native,Native
Caladenia alata,f,Native,Native
Caladenia fuscata,f,Native,Native
Caleana major,f,Native,Native
Calochilus gracillimus,f,Native,Native
Calochilus robertsonii,f,Native,Native
Calytrix tetragona,f,Native,Native
Anthosachne kingiana,f,Native,Native
Acacia podalyriifolia,f,Native,Native
Cissus antarctica,f,Native,Native
Cissus hypoglauca,f,Native,Native
Cladium procerum,f,Native,Native
Correa reflexa,f,Native,Native
Lindsaea linearis,f,Native,Native
Poa sieberiana,f,Native,Native
Veronica plebeia,f,Native,Native
Viminaria juncea,f,Native,Native
Viola banksii,f,Native,Native
Viola hederacea,f,Native,Native
Vittadinia cuneata,f,Native,Native
Vittadinia sulcata,f,Native,Native
Wahlenbergia capillaris,f,Native,Native
Wahlenbergia gracilis,f,Native,Native
Wahlenbergia stricta,f,Native,Native
Westringia fruticosa,f,Native,Native
Westringia longifolia,f,Native,Native
Woollsia pungens,f,Native,Native
Xanthorrhoea arborea,f,Native,Native
Xanthorrhoea concava,f,Native,Native
Xanthorrhoea media,f,Native,Native
Xanthorrhoea minor,f,Native,Native
Xanthorrhoea resinosa,f,Native,Native
Xanthosia pilosa,f,Native,Native
Xanthosia tridentata,f,Native,Native
Xylomelum pyriforme,f,Native,Native
Zieria pilosa,f,Native,Native
Zoysia macrantha,f,Native,Native
Sambucus australasica,f,Native,Native
Sagittaria graminea,f,Native,Native
Apium prostratum,f,Native,Native
Centella cordifolia,f,Native,Native
Hydrocotyle laxiflora,f,Native,Native
Platysace lanceolata,f,Native,Native
Leichhardtia flavescens,f,Native,Native
Polyscias sambucifolia,f,Native,Native
Archontophoenix cunninghamiana,f,Native,Native
Howea forsteriana,f,Native,Native
Livistona australis,f,Native,Native
Dianella longifolia,f,Native,Native
Dianella prunina,f,Native,Native
Cordyline stricta,f,Native,Native
Symphyotrichum subulatum,f,Exotic,Exotic
Brachyscome multifida,f,Native,Native
Calotis cuneata,f,Native,Native
Cassinia aculeata,f,Native,Native
Cassinia uncata,f,Native,Native
Chrysocephalum semipapposum,f,Native,Native
Erigeron bonariensis,f,Exotic,Exotic
Erigeron sumatrensis,f,Native,Native
Cymbonotus lawsonianus,f,Native,Native
Zieria smithii,f,Native,Native
Wilsonia backhousei,f,Native,Native
Senecio bathurstianus,f,Native,Native
Senecio prenanthoides,f,Native,Native
Xerochrysum bracteatum,f,Native,Native
Brassica rapa,f,Exotic,Exotic
Lepidium pseudohyssopifolium,f,Native,Native
Spergularia marina,f,Native,Native
Dysphania glomulifera,f,Native,Native
Einadia nutans,f,Native,Native
Hypericum japonicum,f,Native,Native
Crassula helmsii,f,Native,Native
Carex fascicularis,f,Native,Native
Cyperus enervis,f,Native,Native
Ficinia nodosa,f,Native,Native
Gahnia erythrocarpa,f,Native,Native
Lepidosperma filiforme,f,Native,Native
Lepidosperma latens,f,Native,Native
Lepidosperma urophorum,f,Native,Native
Scleria mackaviensis,f,Native,Native
Tetraria capillaris,f,Native,Native
Hibbertia linearis,f,Native,Native
Hibbertia monogyna,f,Native,Native
Tetratheca juncea,f,Native,Native
Hibbertia riparia,f,Native,Native
Hibbertia serpyllifolia,f,Native,Native
Doryanthes excelsa,f,Native,Native
Epacris obtusifolia,f,Native,Native
Canna indica,t,Exotic,Exotic
Hibbertia puberula,f,Native,Native
Eriocaulon scariosum,f,Native,Native
Alchornea ilicifolia,f,Native,Native
Senna barronfieldii,f,Native,Native
Aotus ericoides,f,Native,Native
Bossiaea buxifolia,f,Native,Native
Bossiaea rhombifolia,f,Native,Native
Castanospermum australe,f,Native,Native
Daviesia genistifolia,f,Native,Native
Daviesia ulicifolia,f,Native,Native
Dillwynia rudis,f,Native,Native
Gompholobium minus,f,Native,Native
Hovea heterophylla,f,Native,Native
Hovea purpurea,f,Native,Native
Hovea speciosa,f,Native,Native
Kennedia prostrata,f,Native,Native
Mirbelia baueri,f,Native,Native
Phyllota grandiflora,f,Native,Native
Platylobium formosum,f,Native,Native
Pultenaea linophylla,f,Native,Native
Pultenaea microphylla,f,Native,Native
Pultenaea mollis,f,Native,Native
Glycine clandestina,f,Native,Native
Pultenaea stipularis,f,Native,Native
Swainsona galegifolia,f,Native,Native
Acacia buxifolia,f,,Genus Only
Acacia cultriformis,f,Native,Native
Acacia elata,f,Native,Native
Acacia elongata,f,Native,Native
Acacia falciformis,f,Native,Native
Acacia linearifolia,f,Native,Native
Acacia rubida,f,Native,Native
Acacia saliciformis,f,Native,Native
Acacia schinoides,f,Native,Native
Goodenia heterophylla,f,Native,Native
Gonocarpus longifolius,f,Native,Native
Gonocarpus teucrioides,f,Native,Native
Hypoxis hygrometrica,f,Native,Native
Sisyrinchium micranthum,f,Exotic,Exotic
Luzula densiflora,f,Native,Native
Cycnogeton multifructum,f,Native,Native
Cycnogeton procerum,f,Native,Native
Ajuga australis,f,Native,Native
Utricularia australis,f,Native,Native
Utricularia dichotoma,f,Native,Native
Utricularia lateriflora,f,Native,Native
Utricularia uliginosa,f,Native,Native
Lomandra confertifolia,f,Native,Native
Lomandra filiformis,f,Native,Native
Lomandra fluviatilis,f,Native,Native
Pultenaea parviflora,f,Native,Native
Acacia bynoeana,f,Native,Native
Abutilon oxycarpum,f,Native,Native
Lagunaria patersonia,f,Exotic,Exotic
Toona ciliata,f,Native,Native
Stephania japonica,f,Native,Native
Palmeria scandens,f,Native,Native
Ficus obliqua,f,Native,Native
Callistemon subulatus,f,Native,Native
Corymbia eximia,f,Native,Native
Eucalyptus consideniana,f,Native,Native
Eucalyptus elata,f,Native,Native
Eucalyptus haemastoma,f,Native,Native
Eucalyptus mannifera,f,Native,Native
Eucalyptus melliodora,f,Native,Native
Eucalyptus obstans,f,Native,Native
Eucalyptus punctata,f,Native,Native
Eucalyptus sieberi,f,Native,Native
Eucalyptus squamosa,f,Native,Native
Eucalyptus viminalis,f,Native,Native
Harmogia densifolia,f,Native,Native
Leptospermum lanigerum,f,Native,Native
Leptospermum polyanthum,f,Native,Native
Leptospermum trinervium,f,Native,Native
Melaleuca sieberi,f,Native,Native
Syzygium australe,f,Native,Native
Tristaniopsis laurina,f,Native,Native
Najas tenuifolia,f,Native,Native
Acianthus exsertus,f,Native,Native
Pterostylis erecta,f,Native,Native
Oxalis chnoodes,f,Native,Native
Glochidion ferdinandi,f,Native,Native
Poranthera corymbosa,f,Native,Native
Hymenosporum flavum,f,Native,Native
Vicia sp.,f,Exotic,Genus Only
Aristida vagans,f,Native,Native
Austrostipa rudis,f,Native,Native
Chascolytrum subaristatum,f,Exotic,Exotic
Capillipedium parviflorum,f,Native,Native
Seringia denticulata,f,Native,Native
Eucalyptus nicholii,f,Native,Native
Entolasia stricta,f,Native,Native
Imperata cylindrica,f,Native,Native
Lachnagrostis aemula,f,Native,Native
Paspalidium gracile,f,Native,Native
Rytidosperma semiannulare,f,Native,Native
Rytidosperma tenuius,f,Native,Native
Sporobolus virginicus,f,Native,Native
Podocarpus elatus,f,Native,Native
Rumex sagittatus,f,Exotic,Exotic
Persicaria strigosa,f,Native,Native
Banksia aemula,f,Native,Native
Conospermum ericifolium,f,Native,Native
Grevillea buxifolia,f,Native,Native
Grevillea linearifolia,f,Native,Native
Grevillea speciosa,f,Native,Native
Hakea gibbosa,f,Native,Native
Hakea propinqua,f,Native,Native
Isopogon anethifolius,f,Native,Native
Macadamia integrifolia,f,Native,Native
Persoonia pinifolia,f,Native,Native
Stenocarpus sinuatus,f,Native,Native
Ranunculus inundatus,f,Native,Native
Hypolaena fastigiata,f,Native,Native
Sporadanthus gracilis,f,Native,Native
Cryptandra ericoides,f,Native,Native
Emmenosperma alphitonioides,f,Native,Native
Galium propinquum,f,Native,Native
Boronia pinnata,f,Native,Native
Crowea saligna,f,Native,Native
Leionema dentatum,f,Native,Native
Philotheca salsolifolia,f,Native,Native
Philotheca scabra,f,Native,Native
Cupaniopsis anacardioides,f,Native,Native
Diploglottis australis,f,Native,Native
Dodonaea viscosa,f,Native,Native
Melilotus indicus,t,Exotic,Exotic
Grevillea juniperina,f,Native,Native
Verbena rigida,f,Exotic,Exotic
Viola betonicifolia,f,Native,Native
Asparagus setaceus,f,Exotic,Exotic
Sphagnum australe,f,Native,Native
Desmodium varians,f,Native,Native
Nyssanthes erecta,f,Native,Native
Echinopogon intermedius,f,Native,Native
Phoenix dactylifera,f,Native,Native
Bursaria spinosa subsp. spinosa,f,Native,Native
Hibbertia hypericoides,f,Native,Native
Corymbia calophylla,f,Native,Native
Hakea lorea,f,Native,Native
Ipomoea muelleri,f,Native,Native
Adansonia gregorii,f,Native,Native
Cochlospermum fraseri,f,Native,Native
Spathodea campanulata,f,Exotic,Exotic
Swainsona formosa,f,Native,Native
Philotheca buxifolia subsp. buxifolia,f,Native,Native
Nymphoides crenata,f,Native,Native
Vicia hirsuta,f,Exotic,Exotic
Cyperus alterniflorus,f,Native,Native
Bidens alba,f,Exotic,Exotic
Heptapleurum actinophyllum,f,Native,Native
Talinum paniculatum,f,Exotic,Exotic
Parthenocissus quinquefolia,f,Exotic,Exotic
Samolus valerandi,f,Native,Native
Potamogeton suboblongus,f,Exotic,Exotic
Polypogon monspeliensis,f,Native,Native
Euphorbia paralias,f,Exotic,Exotic
Solanum chrysotrichum,f,Exotic,Exotic
Grevillea venusta,f,Native,Native
Calystegia sepium,f,Native,Native
Carica papaya,f,Exotic,Exotic
Cassia sp.,f,Native,Genus Only
Phyllostachys sp.,f,Native,Genus Only
Physalis spp.,f,Exotic,Genus Only
Pinus sp.,f,Exotic,Exotic
Digitaria violascens,t,Exotic,Exotic
Chrysanthemoides monilifera subsp. monilifera,t,Exotic,Exotic
Polygonum arenastrum,t,Exotic,Exotic
Rubus anglocandicans,t,Exotic,Exotic
Crocosmia x crocosmiiflora,t,Exotic,Exotic
Senna pendula var. glabrata,t,Exotic,Exotic
Conyza spp.,t,Exotic,Exotic
Cotoneaster spp.,t,Exotic,Exotic
Romulea rosea var. australis,t,Exotic,Exotic
Rubus fruticosus sp. agg.,t,Exotic,Exotic
